caseid,name_indicator,eventcode,EVENTCODEDATE,sex,age,pre_marriagestat,current_marriagestat,white,black,hispanic,schooling,left.b.a,evac.state,state.most.time,lives.NO.still,same.home,month.returned,year.returned,fulltime,partime,selfempfull,selfemppart,laidoff,unemployed,disabled,student,health.before,health.after,received.metal.care,life.quality,mobile,apartment,singlefam,duplex,own.rent,res.damage,income,stayed.first.month,q31,q32,q33,q34,q35,q36,q37
11423,1,492,6-Oct-06,2,40,2,2,1, , ,6,1,MS,TX,1,1,10,2005, ,2, , , , , , ,3,2,2,2, , , ,4,2,3,2,5,2,2,2,3,2,2,7
11438,1,491,18-Oct-06,1,48,2,2, ,2, ,2,1,TX,TX,2, , , ,1, , , , , , , ,2,4,2,1, , ,3, ,2,2,1,1,2,3,1,2,1,2,10
11441,1,491,12-Oct-06,1,28,5,5,1, , ,5,1,AR,AR,3,2,9,2005,1, , , , , , , ,1,1,2,3, , ,3, ,1,3,7,5,3,4,4,4,4,5,7
11446,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11452,1,491,20-Sep-06,2,56,1,1,1, , ,5,1,TN,NC,1,1,10,2005,1, , , , , , , ,3,3,1,3, , ,3, ,1,3,7,5,1,4,2,4,2,3,8
11458,1,501,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11464,1,161,27-Nov-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11469,1,420,3-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11474,1,491,19-Sep-06,1,59,2,2,1, , ,6,1,FL,FL,1,1,10,2005,1, , , , , , , ,4,3,2,2, ,2, , ,2,4,2,5,4,5,4,5,4,5,5
11490,1,491,23-Sep-06,2,28,5,5,1, , ,6,1,GA,MO,1,1,10,2005,1, , , , , , , ,2,3,2,3, ,2, , ,2,3,4,5,4,5,3,5,3,5,9
11493,1,490,31-Oct-06,1,70,5,5,1, , ,2,1,FL,FLA,1,1,10,2005, , , , , , , , ,4,4,2,2, , , ,4,2,4,6,5,5,5,5,5,5,5,5
11495,1,500,20-Oct-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
